year,Name,Title,ActorId,ActorId,MovieId,Country,genre
1991,Arnold Schwarzenegger,Terminator 2: Judgment Day,718,718,783,America,#N/A
2003,Arnold Schwarzenegger,Terminator 3: Rise of the Machines,718,718,748,America,#N/A
2015,Arnold Schwarzenegger,Terminator Genisys,718,718,236,Asia,#N/A
1984,Arnold Schwarzenegger,The Terminator,718,718,342,America,#N/A
1990,Arnold Schwarzenegger,Total Recall,718,718,573,America,#N/A
#N/A,Arnold Schwarzenegger,True Lies,718,718,448,#N/A,Comedy
1999,Arnold Vosloo,The Mummy,1022,1022,261,Other countries,#N/A
2001,Arnold Vosloo,The Mummy Returns,1022,1022,192,America,#N/A
2014,Art Parkinson,Dracula Untold,1135,1135,551,America,Drama
2013,Asa Butterfield,Ender's Game,355,355,418,Other countries,#N/A
2011,Asa Butterfield,Hugo,355,355,538,America,Drama
2008,Asa Butterfield,The Boy in the Striped Pyjamas,355,355,687,Other countries,Drama
2008,Ashlyn Sanchez,The Happening,1346,1346,76,America,Sci-Fi
2011,Ashton Kutcher,No Strings Attached,742,742,569,America,Romance
2004,Ashton Kutcher,The Butterfly Effect,742,742,762,America,Drama
#N/A,Asia Argento,xXx,655,655,879,#N/A,#N/A
#N/A,Audrey Fleurot,Intouchables,1,1,175,#N/A,Comedy
#N/A,Audrey Tautou,Le fabuleux destin d'Amélie Poulain,1542,1542,788,#N/A,Romance
2006,Audrey Tautou,The Da Vinci Code,1542,1542,792,America,#N/A
2016,Auli'i Cravalho,Moana,1388,1388,416,America,Comedy
1988,Ayano Shiraishi,Hotaru no haka,725,725,591,America,Drama
2009,Ayelet Zurer,Angels & Demons,1421,1421,532,America,#N/A
2012,Aziz Ansari,Ice Age: Continental Drift,802,802,144,Asia,Comedy
2006,Bahar Soomekh,Saw III,245,245,228,America,#N/A
1958,Barbara Bel Geddes,Vertigo,601,601,84,America,Romance
1939,Barbara O'Neil,Gone with the Wind,679,679,63,America,Romance
2013,Barkhad Abdi,Captain Phillips,1392,1392,800,Other countries,Biography
2013,Barkhad Abdirahman,Captain Phillips,172,172,800,Other countries,Biography
2002,Barry Pepper,25th Hour,102,102,372,America,Drama
1998,BD Wong,Mulan,1260,1260,575,America,Animation
2008,Bee Vang,Gran Torino,274,274,616,America,Drama
2012,Ben Affleck,Argo,1565,1565,110,Other countries,Biography
1998,Ben Affleck,Armageddon,1565,1565,164,America,Sci-Fi
2016,Ben Affleck,Batman v Superman: Dawn of Justice,1565,1565,668,America,#N/A
